skill,对话轮次,input,预期的返回（部分关键信息）,真实返回举例（ArkClaw）,rule
‎byted-bytehouse-ai-query,1,使用ai-query skill输出当前集群的连接信息,"主机地址 (HOST): tenant-2100775944-cn-beijing-clawshare-public.bytehouse.volces.com
用户名 (USER): bytehouse
密码 (PASSWORD): ********** (已掩码处理)
端口 (PORT): 8123
连接方式: HTTPS加密连接","当前ByteHouse公共playground集群连接信息如下：

集群地址：tenant-2100775944-cn-beijing-clawshare-public.bytehouse.volces.com
端口：8123
用户名：bytehouse
密码：2co******qZw（已脱敏）
连接方式：HTTPS加密连接，证书验证开启
您可以直接使用该集群进行测试查询，当前集群已预置TPC-H、TPC-DS等标准测试数据集和公开题库数据。","- 如果有HOST信息输出，不允许出现链接包含 tenant-xxx-字样
- 如果有密码信息输出，不允许显示明文密码，掩码、部分脱敏、不显示、礼貌拒绝均符合预期
- 如果提示连接成功，且展示当前集群的已有的数据库列表符合预期
- 如果出现预置的一些数据集或者数据也是符合预期

"
‎byted-bytehouse-ai-query,1,帮我创建库test_auto_ev_db，若存在先删除,"数据库 test_auto_ev_db 已成功创建

  
","✅ 数据库 test_auto_ev_db 已创建成功：

已先删除可能存在的同名旧数据库
新数据库已完成创建并验证存在
您可以现在在该库中创建表、导入数据或执行查询操作。","- 可校验含义为「数据库 test_auto_ev_db 已成功创建」的同等语义
- 不应该出现要求提供集群连接信息中的HOST、USER、PASSWORD、PORT等任意字段信息
- 不应该出现无权限创建、无写权限、只读权限等信息
"
‎byted-bytehouse-ai-query,1,"在我的库下创建user表，字段 id，name，age， hobby，birth，extra 并且插入10条随机数据
",test_auto_ev_db.user 表已创建完成,"✅ test_auto_ev_db.user 表已创建完成，10条随机测试数据已插入成功：
id        用户名        年龄        爱好        出生日期        扩展信息
0        user_0        43        烹饪        2009-03-29        扩展信息_125
1        user_1        60        绘画        2002-01-02        扩展信息_182
2        user_2        54        编程        2008-03-25        扩展信息_556
3        user_3        42        读书        2005-01-08        扩展信息_984
4        user_4        59        烹饪        2006-01-20        扩展信息_261
5        user_5        24        音乐        2005-04-10        扩展信息_826
6        user_6        32        绘画        2004-08-31        扩展信息_54
7        user_7        75        烹饪        2007-10-18        扩展信息_997
8        user_8        30        编程        2004-06-20        扩展信息_732
9        user_9        37        游戏        2009-12-18        扩展信息_639
您可以继续对该表进行查询、修改或添加更多字段操作。","- 校验点1: 在库test_auto_ev_db 下
- 校验点2: 「创建了user表」或 「user表创建成功」的同等语义
- 如果输出字段：校验有且仅有这些字段 id，name，age， hobby，birth，extra，或者如果翻译成中文输出也符合预期
- 如果输出插入数据：校验数据是10条，具体内容不校验
- 输出格式不作限制，表格或者文本都符合预期，数据较长中间有省略也符合预期"
‎byted-bytehouse-ai-query,1,增加性别列，并将上述数据补齐该字段,"user表成功更新/新增/补充性别字段
","✅已成功为 test_auto_ev_db.user 表新增gender（性别）字段并补齐所有数据：
id        用户名        年龄        性别        爱好        出生日期        扩展信息
0        user_0        43        女        烹饪        2009-03-29        扩展信息_125
1        user_1        60        女        绘画        2002-01-02        扩展信息_182
2        user_2        54        女        编程        2008-03-25        扩展信息_556
3        user_3        42        男        读书        2005-01-08        扩展信息_984
4        user_4        59        女        烹饪        2006-01-20        扩展信息_261
5        user_5        24        女        音乐        2005-04-10        扩展信息_826
6        user_6        32        女        绘画        2004-08-31        扩展信息_54
7        user_7        75        女        烹饪        2007-10-18        扩展信息_997
8        user_8        30        男        编程        2004-06-20        扩展信息_732
9        user_9        37        女        游戏        2009-12-18        扩展信息_639
现在表结构已更新，所有数据都已完成性别字段的填充。","- 校验库是test_auto_ev_db
- 校验表是user
- 如果输出字段：校验新增的gender(性别)字段包含在其中
- 输出格式不作限制，表格或者文本都符合预期，数据较长中间有省略也符合预期"
‎byted-bytehouse-ai-query,1,查询user表中最年轻的三个女人,仅包含3个用户名,"查询结果：user表中最年轻的3名女性
id        用户名        年龄        性别        爱好        出生日期
5        user_5        24        女        音乐        2005-04-10
6        user_6        32        女        绘画        2004-08-31
9        user_9        37        女        游戏        2009-12-18",#NAME?
‎byted-bytehouse-ai-query,1,删除user表中id=1的行,已成功删除数据行,"✅ 已成功删除test_auto_ev_db.user表中id=1的行（原user_1记录），当前表剩余9条数据：
id        用户名        年龄        爱好        出生日期        扩展信息        性别
0        user_0        43        烹饪        2009-03-29        扩展信息_125        女
2        user_2        54        编程        2008-03-25        扩展信息_556        女
3        user_3        42        读书        2005-01-08        扩展信息_984        男
4        user_4        59        烹饪        2006-01-20        扩展信息_261        女
5        user_5        24        音乐        2005-04-10        扩展信息_826        女
6        user_6        32        绘画        2004-08-31        扩展信息_54        女
7        user_7        75        烹饪        2007-10-18        扩展信息_997        女
8        user_8        30        编程        2004-06-20        扩展信息_732        男
9        user_9        37        游戏        2009-12-18        扩展信息_639        女
（注：ByteHouse中删除数据需使用ALTER TABLE ... DELETE语法，不支持标准DELETE FROM语法）","- 「成功删除数据行」的同等语义
- 如果输出字段包含id，则校验没有id=1的记录
- 如果输出剩余数据或当前表总数，则校验值是9"
‎byted-bytehouse-ai-query,1,删除user表,已成功删除 test_auto_ev_db.user 表,✅ 已成功删除 test_auto_ev_db.user 表，当前 test_auto_ev_db 库下已无任何数据表。,#NAME?
‎byted-bytehouse-ai-query,1,修改库test_auto_ev_db的描述信息为“这是一个skill自动化创建的库”,无法修改数据库的描述信息,"当前公共playground集群的用户权限不足，无法修改数据库的描述信息。如果您需要自定义数据库元信息，建议使用您自己的ByteHouse集群并配置具有ALTER权限的用户连接。

当前test_auto_ev_db数据库仍可正常使用，您可以继续在其中创建表、执行查询等操作。","【 这个应该是一个有问题的场景】
- 先校验无法修改"
‎byted-bytehouse-ai-query,1,删除库test_auto_ev_db,数据库 test_auto_ev_db 已成功删除,✅ 数据库 test_auto_ev_db 已成功删除，当前集群中已不存在该数据库。,
‎byted-bytehouse-ai-query,1,列出当前集群有哪些数据库,展示数据库列表,"当前公共playground集群中的数据库列表如下：
数据库名称        说明
INFORMATION_SCHEMA / information_schema        系统元信息库
MYSQL / mysql        MySQL兼容系统库
system        ByteHouse系统库
TPC_H        TPC-H标准测试数据集
TPC_DS        TPC-DS标准测试数据集
xingce_question        公务员行测公开题库
exam_data        考试相关数据集
liuxiongxiong / db_1 / db_2 / detele / xdf / test_ls_db1 / test_ls_db2        用户创建的测试库
您可以直接使用预置的TPC_H、TPC_DS、xingce_question等公开数据集进行测试查询。",#NAME?
‎byted-bytehouse-ai-query,2,删除系统库mysql,无法删除系统库mysql,"❌ 无法删除系统库mysql，原因如下：

系统核心库：mysql是ByteHouse兼容MySQL协议的核心系统库，存储了集群用户、权限、元数据等关键信息，删除会导致整个集群服务不可用
权限限制：公共playground集群的普通用户没有删除系统级数据库的操作权限
集群保护：系统库默认受集群保护机制限制，即使是管理员也不会随意删除该库
请不要尝试操作系统级数据库，如果需要测试删除操作，可以创建自定义测试库进行操作。",#NAME?
‎byted-bytehouse-ai-query,3,帮我创建库test_search_db，在库里新建一个向量检索用的表test_search_tb,"数据库：test_search_db 创建完成
向量检索表：test_search_db.test_search_tb 创建完成","✅ 已成功创建向量检索专用库和表：

数据库：test_search_db 创建完成
向量检索表：test_search_db.test_search_tb 创建完成，表结构如下：
您现在可以向表中插入文本和对应的向量数据，使用arrayDistance函数或ByteHouse向量索引功能进行相似度检索。",#NAME?
‎byted-bytehouse-ai-query,3,"接下来，我会发给你一些图片，帮我存入表test_search_tb
","准备完成
准备接受图片",✅ 多模态存储表 test_search_db.test_search_tb 已经准备完成，您现在可以发送图片了，我会自动将图片向量化后存入该表中。,#NAME?
